   1 draws     768 prim model=000050e8 cam=1fb0 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=1+0nocensus s=117440512,d=0,r=5000000,lod=0,kept body=environments\nebulae\greenvoid\nebula_greenvoid_stars_01
   1 draws     360 prim model=00004e86 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=1+0nocensus s=212,d=12574,r=4170,lod=0,kept body=effects\engines\fx_engine_argon_M3
   1 draws       2 prim model=0000568f cam=5cd0 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=114,r=512,lod=0,kept body=effects/menugfx/GUI/blackpearl
   1 draws       2 prim model=00005697 cam=42f8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=0,r=256,lod=0,kept body=effects/menugfx/hud_info_2d
   1 draws       2 prim model=00005698 cam=42f8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=206,r=256,lod=0,kept body=effects/menugfx/hud_weapons_2d
   1 draws       2 prim model=0000569b cam=7100 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=640,d=1024,r=1024,lod=0,kept body=effects/menugfx/GUI/sidebar
   1 draws       2 prim model=0000568d cam=fb70 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=316,d=1034,r=512,lod=0,kept body=effects\menugfx\GUI\gui_master
frame 36781 draws=118 by camera={'13f11fb0': 5, '13f11818': 95, '00000000': 8, '13f0b360': 3, '13f75cd0': 1, '118842f8': 4, '29c47100': 1, '29bcfb70': 1}
  37 draws   60897 prim model=0000542a cam=1818 ovl=1 ctxlod=[0] lods=3 thr=100000,250,196 nodes=1+0nocensus s=211,d=1791680,r=593198,lod=0,kept body=stations\station_scenes\tech\argon_tech_S_laser_E
  12 draws    1680 prim model=00005413 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=12+0nocensus s=20,d=1885321,r=61759,lod=0,kept s=20,d=1885947,r=61759,lod=0,kept s=20,d=1886731,r=61759,lod=0,kept body=stations\connections\connect_argon_pipe_medium_cargo_cargoanimA
  10 draws    4270 prim model=35b42b43 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=5+0nocensus s=6,d=2074335,r=22099,lod=0,kept s=6,d=2076912,r=22099,lod=0,kept s=6,d=2091630,r=22099,lod=0,kept body=-
   8 draws    2560 prim model=00005421 cam=1818 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=8+0nocensus s=13,d=7033985,r=150314,lod=0,kept s=13,d=7047518,r=150314,lod=0,kept s=13,d=7072516,r=150314,lod=0,kept body=stations\connections\connect_argon_pipe_huge_cargoanimA_
